id,name,provider,enabled,input_price,cached_input_price,output_price,price_level,context_length,output_length,intelligence,speed,supports_image_input,supports_audio_input,supports_video_input,supports_file_input,reasoning_effort,supports_temperature,supports_frequency_penalty,supports_presence_penalty,timeout
google/gemma-4-31b-it:free,Gemma 4 31B (Free),openrouter,TRUE,0,,0,1,262144,32768,3,4,TRUE,FALSE,TRUE,FALSE,high,TRUE,TRUE,TRUE,300
openrouter/free,OpenRouter Free,openrouter,TRUE,0,,0,1,200000,20000,2,2,FALSE,FALSE,FALSE,FALSE,high,TRUE,TRUE,TRUE,300
qwen/qwen3.6-plus,Qwen3.6 Plus,openrouter,TRUE,0.325,,1.95,2,1000000,65536,4,4,TRUE,FALSE,TRUE,FALSE,high,TRUE,TRUE,TRUE,300
minimax/minimax-m2.7,MiniMax M2.7,openrouter,TRUE,0.3,0.03,1.2,2,204800,131072,5,3,FALSE,FALSE,FALSE,FALSE,high,TRUE,TRUE,TRUE,300
minimax/minimax-m2-her,Minimax M2 Her,openrouter,TRUE,0.3,0.03,1.2,2,65536,2048,3,3,FALSE,FALSE,FALSE,FALSE,none,TRUE,TRUE,TRUE,300
xiaomi/mimo-v2.5-pro,MiMo V2.5 Pro,openrouter,TRUE,1,0.2,3,3,1048576,131072,5,2,FALSE,FALSE,FALSE,FALSE,high,TRUE,TRUE,TRUE,300
xiaomi/mimo-v2.5,MiMo V2.5,openrouter,TRUE,0.4,0.08,2,2,1048576,131072,4,3,TRUE,TRUE,TRUE,FALSE,high,TRUE,TRUE,TRUE,300
mimo-v2.5-pro,MiMo V2.5 Pro,mimo_plan,TRUE,1,0.2,3,3,1048576,131072,5,2,FALSE,FALSE,FALSE,FALSE,high,TRUE,TRUE,TRUE,300
mimo-v2.5,MiMo V2.5,mimo_plan,TRUE,0.4,0.08,2,2,1048576,131072,4,3,TRUE,TRUE,TRUE,FALSE,high,TRUE,TRUE,TRUE,300
moonshotai/kimi-k2.6,Moonshot Kimi K2.6,openrouter,TRUE,0.95,0.16,4,2,256000,65536,4,3,TRUE,FALSE,FALSE,FALSE,high,TRUE,TRUE,TRUE,300
qwen/qwen3.5-flash-02-23,Qwen3.5 Flash,openrouter,TRUE,0.1,,0.4,1,1000000,65536,4,5,TRUE,FALSE,TRUE,FALSE,none,TRUE,TRUE,TRUE,300
z-ai/glm-4.7-flash,GLM 4.7 Flash,openrouter,TRUE,0.06,0.01,0.4,1,202752,131072,3,5,FALSE,FALSE,FALSE,FALSE,none,TRUE,TRUE,TRUE,300
z-ai/glm-5.1,GLM 5.1,openrouter,TRUE,1.26,,3.96,3,202752,131072,5,2,FALSE,FALSE,FALSE,FALSE,high,TRUE,TRUE,TRUE,300
anthropic/claude-sonnet-4.6,Claude Sonnet 4.6,openrouter,TRUE,3,0.3,15,4,200000,8192,5,3,TRUE,FALSE,FALSE,FALSE,high,TRUE,TRUE,TRUE,300
anthropic/claude-opus-4.7,Claude Opus 4.7,openrouter,TRUE,5,0.5,25,5,1000000,8192,5,2,TRUE,FALSE,FALSE,FALSE,high,TRUE,TRUE,TRUE,300
gemini-3-flash-preview,Gemini 3 Flash,google,TRUE,0.5,0.05,3,2,1048576,65536,4,5,TRUE,TRUE,TRUE,TRUE,none,TRUE,FALSE,FALSE,300
google/gemini-3-flash-preview,Gemini 3 Flash,openrouter,TRUE,0.5,0.05,3,2,1048576,65536,4,5,TRUE,TRUE,TRUE,TRUE,none,TRUE,TRUE,TRUE,300
gemini-3.1-pro-preview-customtools,Gemini 3.1 Pro,google,TRUE,2,0.2,12,4,1048576,65536,5,3,TRUE,TRUE,TRUE,TRUE,high,TRUE,FALSE,FALSE,300
google/gemini-3.1-pro-preview-customtools,Gemini 3.1 Pro,openrouter,TRUE,2,0.2,12,4,1048576,65536,5,3,TRUE,TRUE,TRUE,TRUE,high,TRUE,TRUE,TRUE,300
gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,google,TRUE,0.25,0.025,1.5,2,1048576,65536,3,5,TRUE,TRUE,TRUE,TRUE,high,TRUE,FALSE,FALSE,300
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,openrouter,TRUE,0.25,0.025,1.5,2,1048576,65536,3,5,TRUE,TRUE,TRUE,TRUE,high,TRUE,TRUE,TRUE,300
